Year,City,Winner,Participant,Song,Points,Url
2022,Turin,Ukraine,Kalush Orchestra,Stefania,631.0,https://eurovision.tv/event/turin-2022
2021,Rotterdam,Italy,Måneskin,Zitti E Buoni,524.0,https://eurovision.tv/event/rotterdam-2021
2019,Tel Aviv,Netherlands,Duncan Laurence,Arcade,498.0,https://eurovision.tv/event/tel-aviv-2019
2018,Lisbon,Israel,Netta,TOY,529.0,https://eurovision.tv/event/lisbon-2018
2017,Kyiv,Portugal,Salvador Sobral,Amar Pelos Dois,758.0,https://eurovision.tv/event/kyiv-2017
2016,Stockholm,Ukraine,Jamala,1944,534.0,https://eurovision.tv/event/stockholm-2016
2015,Vienna,Sweden,Måns Zelmerlöw,Heroes,365.0,https://eurovision.tv/event/vienna-2015
2014,Copenhagen,Austria,Conchita Wurst,Rise Like a Phoenix,290.0,https://eurovision.tv/event/copenhagen-2014
2013,Malmö,Denmark,Emmelie de Forest,Only Teardrops,281.0,https://eurovision.tv/event/malmo-2013
2012,Baku,Sweden,Loreen,Euphoria,372.0,https://eurovision.tv/event/baku-2012
2011,Düsseldorf,Azerbaijan,Ell/Nikki,Running Scared,221.0,https://eurovision.tv/event/dusseldorf-2011
2010,Oslo,Germany,Lena,Satellite,246.0,https://eurovision.tv/event/oslo-2010
2009,Moscow,Norway,Alexander Rybak,Fairytale,387.0,https://eurovision.tv/event/moscow-2009
2008,Belgrade,Russia,Dima Bilan,Believe,272.0,https://eurovision.tv/event/belgrade-2008
2007,Helsinki,Serbia,Marija Šerifović,Molitva,268.0,https://eurovision.tv/event/helsinki-2007
2006,Athens,Finland,Lordi,Hard Rock Hallelujah,292.0,https://eurovision.tv/event/athens-2006
2005,Kyiv,Greece,Helena Paparizou,My Number One,230.0,https://eurovision.tv/event/kyiv-2005
2004,Istanbul,Ukraine,Ruslana,Wild Dances,280.0,https://eurovision.tv/event/istanbul-2004
2003,Riga,Türkiye,Sertab Erener,,167.0,https://eurovision.tv/event/riga-2003
2002,Tallinn,Latvia,Marie N,,176.0,https://eurovision.tv/event/tallinn-2002
2001,Copenhagen,Estonia,"Tanel Padar, Dave Benton & 2XL",,198.0,https://eurovision.tv/event/copenhagen-2001
2000,Stockholm,Denmark,Olsen brothers,,195.0,https://eurovision.tv/event/stockholm-2000
1999,Jerusalem,Sweden,Charlotte Nilsson,,163.0,https://eurovision.tv/event/jerusalem-1999
1998,Birmingham,Israel,Dana International,Diva,172.0,https://eurovision.tv/event/birmingham-1998
1997,Dublin,United Kingdom,Katrina and The Waves,,227.0,https://eurovision.tv/event/dublin-1997
1996,Oslo,Ireland,Eimear Quinn,,162.0,https://eurovision.tv/event/oslo-1996
1995,Dublin,Norway,Secret Garden,,148.0,https://eurovision.tv/event/dublin-1995
1994,Dublin,Ireland,Paul Harrington and Charlie McGettigan,,226.0,https://eurovision.tv/event/dublin-1994
1993,Millstreet,Ireland,Niamh Kavanagh,,187.0,https://eurovision.tv/event/millstreet-1993
1992,Malmö,Ireland,Linda Martin,,155.0,https://eurovision.tv/event/malmo-1992
1991,Rome,Sweden,Carola,,146.0,https://eurovision.tv/event/rome-1991
1990,Zagreb,Italy,Toto Cutugno,,149.0,https://eurovision.tv/event/zagreb-1990
1989,Lausanne,Yugoslavia,Riva,,137.0,https://eurovision.tv/event/lausanne-1989
1988,Dublin,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,137.0,https://eurovision.tv/event/dublin-1988
1987,Brussels,Ireland,Johnny Logan,Hold Me Now,172.0,https://eurovision.tv/event/brussels-1987
1986,Bergen,Belgium,Sandra Kim,,176.0,https://eurovision.tv/event/bergen-1986
1985,Gothenburg,Norway,Bobbysocks,,123.0,https://eurovision.tv/event/gothenburg-1985
1984,Luxembourg,Sweden,Herrey's,,145.0,https://eurovision.tv/event/luxembourg-1984
1983,Munich,Luxembourg,Corinne Hermès,,142.0,https://eurovision.tv/event/munich-1983
1982,Harrogate,Germany,Nicole,,161.0,https://eurovision.tv/event/harrogate-1982
1981,Dublin,United Kingdom,Bucks Fizz,,136.0,https://eurovision.tv/event/dublin-1981
1980,The Hague,Ireland,Johnny Logan,,143.0,https://eurovision.tv/event/the-hague-1980
1979,Jerusalem,Israel,Milk and Honey,,125.0,https://eurovision.tv/event/jerusalem-1979
1978,Paris,Israel,Izhar Cohen and the Alphabeta,,157.0,https://eurovision.tv/event/paris-1978
1977,London,France,Marie Myriam,,136.0,https://eurovision.tv/event/london-1977
1976,The Hague,United Kingdom,Brotherhood of Man,,164.0,https://eurovision.tv/event/the-hague-1976
1975,Stockholm,Netherlands,Teach-In,Ding-A-Dong,152.0,https://eurovision.tv/event/stockholm-1975
1974,Brighton,Sweden,ABBA,Waterloo,24.0,https://eurovision.tv/event/brighton-1974
1973,Luxembourg,Luxembourg,Anne-Marie David,,129.0,https://eurovision.tv/event/luxembourg-1973
1972,Edinburgh,Luxembourg,Vicky Leandros,,128.0,https://eurovision.tv/event/edinburgh-1972
1971,Dublin,Monaco,Séverine,,128.0,https://eurovision.tv/event/dublin-1971
1970,Amsterdam,Ireland,Dana,,32.0,https://eurovision.tv/event/amsterdam-1970
1969,Madrid,France,Frida Boccara,,18.0,https://eurovision.tv/event/madrid-1969
1969,Madrid,Netherlands,Lenny Kuhr,,18.0,https://eurovision.tv/event/madrid-1969
1969,Madrid,United Kingdom,Lulu,,18.0,https://eurovision.tv/event/madrid-1969
1969,Madrid,Spain,Salomé,,18.0,https://eurovision.tv/event/madrid-1969
1968,London,Spain,Massiel,,29.0,https://eurovision.tv/event/london-1968
1967,Vienna,United Kingdom,Sandie Shaw,,47.0,https://eurovision.tv/event/vienna-1967
1966,Luxembourg,Austria,Udo Jürgens,,31.0,https://eurovision.tv/event/luxembourg-1966
1965,Naples,Luxembourg,France Gall,,32.0,https://eurovision.tv/event/naples-1965
1964,Copenhagen,Italy,Gigliola Cinquetti,,49.0,https://eurovision.tv/event/copenhagen-1964
1963,London,Denmark,Grethe and Jørgen Ingmann,,42.0,https://eurovision.tv/event/london-1963
1962,Luxembourg,France,Isabelle Aubret,,26.0,https://eurovision.tv/event/luxembourg-1962
1961,Cannes,Luxembourg,Jean-Claude Pascal,,31.0,https://eurovision.tv/event/cannes-1961
1960,London,France,Jacqueline Boyer,,32.0,https://eurovision.tv/event/london-1960
1959,Cannes,Netherlands,Teddy Scholten,,21.0,https://eurovision.tv/event/cannes-1959
1958,Hilversum,France,André Claveau,,27.0,https://eurovision.tv/event/hilversum-1958
1957,Frankfurt am Main,Netherlands,Corry Brokken,Net Als Toen,31.0,https://eurovision.tv/event/frankfurt-1957
1956,Lugano,Switzerland,Lys Assia,,,https://eurovision.tv/event/lugano-1956
